2024;AGRUPAMENTO_NATUREZA2;NATUREZA2;AREA;DEPARTAMENTO;SECCIONAL;DP;REGIAO;MUNICIPIO
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Jacupiranga;002 DP - Jacupiranga;Santos;Jacupiranga
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Praia Grande;003 DP - Praia Grande;Santos;Praia Grande
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Praia Grande;DM - São Vicente;Santos;São Vicente
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Registro;DM - Juquiá;Santos;Juquiá
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Santos;001 DP - Cubatão;Santos;Cubatão
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Santos;002 DP - Cubatão;Santos;Cubatão
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Santos;003 DP - Cubatão;Santos;Cubatão
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Santos;004 DP - Santos;Santos;Santos
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Santos;005 DP - Santos;Santos;Santos
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Santos;DM - Cubatão;Santos;Cubatão
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 7;SEC Itapetininga;002 DP - Itapetininga;Sorocaba;Itapetininga
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 7;SEC Sorocaba;004 DP - Itú;Sorocaba;Itu
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 7;SEC Sorocaba;006 DP - Sorocaba;Sorocaba;Sorocaba
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 7;SEC Sorocaba;DM - Araçariguama;Sorocaba;Araçariguama
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 7;SEC Sorocaba;DM - Mairinque;Sorocaba;Mairinque
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 7;SEC Sorocaba;DM - Porto Feliz;Sorocaba;Porto Feliz
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Americana;001 DP - Americana;Piracicaba;Americana
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Americana;001 DP - Sta. Barbara do Oeste;Piracicaba;Santa Bárbara D'Oeste
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Americana;001 DP - Sumaré;Piracicaba;Sumaré
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Americana;DM - Monte Mor;Piracicaba;Monte Mor
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Limeira;003 DP - Limeira;Piracicaba;Limeira
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;1ª SEC;008 DP - Brás;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;2ª SEC;017 DP - Ipiranga;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;2ª SEC;035 DP - Jabaquara;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;3ª SEC;033 DP - Pirituba;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;3ª SEC;034 DP - Vila Sonia;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;3ª SEC;051 DP - Butantã;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;3ª SEC;075 DP - Jardim Arpoador;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;4ª SEC;020 DP - Água Fria;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;5ª SEC;021 DP - Vila Matilde;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;5ª SEC;029 DP - Vila Diva;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;5ª SEC;056 DP - Vila Alpina;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;6ª SEC;011 DP - Santo Amaro;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;7ª SEC;050 DP - Itaim Paulista;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;7ª SEC;059 DP - Jardim Noemia;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;7ª SEC;065 DP - Artur Alvim;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;7ª SEC;068 DP - Lajeado;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;7ª SEC;103 DP - Cohab Itaquera;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Carapicuíba;001 DP - Barueri;Grande São Paulo (exclui a Capital);Barueri
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Carapicuíba;002 DP - Carapicuiba;Grande São Paulo (exclui a Capital);Carapicuíba
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Carapicuíba;DM - Santana do Parnaiba;Grande São Paulo (exclui a Capital);Santana de Parnaíba
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Carapicuíba;DM - Vargem Grande Paulista;Grande São Paulo (exclui a Capital);Vargem Grande Paulista
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Diadema;001 DP - Diadema;Grande São Paulo (exclui a Capital);Diadema
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Diadema;002 DP - Diadema;Grande São Paulo (exclui a Capital);Diadema
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Diadema;003 DP - Diadema;Grande São Paulo (exclui a Capital);Diadema
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Franco da Rocha;DM - Caieiras;Grande São Paulo (exclui a Capital);Caieiras
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Guarulhos;DM - Santa Isabel;Grande São Paulo (exclui a Capital);Santa Isabel
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Mogi das Cruzes;002 DP - Suzano;Grande São Paulo (exclui a Capital);Suzano
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Mogi das Cruzes;DM - Ferraz de Vasconcelos;Grande São Paulo (exclui a Capital);Ferraz de Vasconcelos
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Osasco;003 DP - Osasco;Grande São Paulo (exclui a Capital);Osasco
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Osasco;006 DP - Osasco;Grande São Paulo (exclui a Capital);Osasco
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC São Bernardo Campo;005 DP - São Bernardo do Campo;Grande São Paulo (exclui a Capital);São Bernardo do Campo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Taboão da Serra;DM - Embú;Grande São Paulo (exclui a Capital);Embu das Artes
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 1;SEC Guaratinguetá;DM - Aparecida;São José dos Campos;Aparecida
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 1;SEC Jacareí;001 DP - Jacareí;São José dos Campos;Jacareí
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 1;SEC São José Campos;003 DP - São Jose dos Campos;São José dos Campos;São José dos Campos
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;1ª Seccional Campinas;003 DP - Campinas;Campinas;Campinas
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;1ª Seccional Campinas;005 DP - Campinas;Campinas;Campinas
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;1ª Seccional Campinas;DM - Valinhos;Campinas;Valinhos
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;2ª Seccional Campinas;008 DP - Campinas;Campinas;Campinas
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Bragança Paulista;DM - Bom Jesus dos Perdões;Campinas;Bom Jesus dos Perdões
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Jundiaí;001 DP - Itatiba;Campinas;Itatiba
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Jundiaí;001 DP - Jundiai;Campinas;Jundiaí
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Jundiaí;003 DP - Jundiai;Campinas;Jundiaí
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Jundiaí;DM - Campo Limpo Pta.;Campinas;Campo Limpo Paulista
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Jundiaí;DM - Jarinú;Campinas;Jarinu
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Mogi-Guaçu;DM - Estiva Gerbi;Campinas;Estiva Gerbi
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Mogi-Guaçu;DM - Itapira;Campinas;Itapira
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 3;SEC Araraquara;DM - Taquaritinga;Ribeirão Preto;Taquaritinga
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 3;SEC Bebedouro;002 DP - Bebedouro;Ribeirão Preto;Bebedouro
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 3;SEC Franca;DM - Igarapava;Ribeirão Preto;Igarapava
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 3;SEC Ribeirão Preto;005 DP - Ribeirão Preto;Ribeirão Preto;Ribeirão Preto
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 4;SEC Marília;DM - Ocauçú;Bauru;Ocauçu
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 5;SEC Jales;DM - Vitória Brasil;São José do Rio Preto;Vitória Brasil
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 5;SEC São José Rio Preto;003 DP - São José do Rio Preto;São José do Rio Preto;São José do Rio Preto
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Itanhaém;001 DP - Mongaguá;Santos;Mongaguá
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Jacupiranga;DM - Cajati;Santos;Cajati
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Praia Grande;001 DP - São Vicente;Santos;São Vicente
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Praia Grande;002 DP - São Vicente;Santos;São Vicente
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Santos;DM - Guarujá;Santos;Guarujá
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 7;SEC Itapetininga;DM - Boituva;Sorocaba;Boituva
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 7;SEC Itapetininga;DM - Quadra;Sorocaba;Quadra
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 7;SEC Sorocaba;002 DP - Itú;Sorocaba;Itu
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 7;SEC Sorocaba;DM - Araçoiba da Serra;Sorocaba;Araçoiaba da Serra
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Americana;003 DP - Sumaré;Piracicaba;Sumaré
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Americana;004 DP - Sumaré;Piracicaba;Sumaré
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Americana;DM - Nova Odessa;Piracicaba;Nova Odessa
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Limeira;001 DP - Leme;Piracicaba;Leme
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Limeira;004 DP - Limeira;Piracicaba;Limeira
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Limeira;DM - Araras;Piracicaba;Araras
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Limeira;DM - Iracemápolis;Piracicaba;Iracemápolis
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Piracicaba;004 DP - Piracicaba;Piracicaba;Piracicaba
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC São João Boa Vista;001 DP - Espírito Sto. do Pinhal;Piracicaba;Espírito Santo do Pinhal
18;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;4ª SEC;074 DP - Jaraguá;CAPITAL;São Paulo
13;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;6ª SEC;085 DP - Jardim Mirna;CAPITAL;São Paulo
12;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;8ª SEC;049 DP - São Mateus;CAPITAL;São Paulo
11;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;3ª SEC;046 DP - Perus;CAPITAL;São Paulo
10;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC São Bernardo Campo;006 DP - São Bernardo do Campo;Grande São Paulo (exclui a Capital);São Bernardo do Campo
8;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;2ª SEC;095 DP - Heliópolis;CAPITAL;São Paulo
6;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;4ª SEC;073 DP - Jaçanã;CAPITAL;São Paulo
6;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;4ª SEC;090 DP - Parque Novo Mundo;CAPITAL;São Paulo
6;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Carapicuíba;DM - Itapevi;Grande São Paulo (exclui a Capital);Itapevi
5;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;1ª SEC;012 DP - Pari;CAPITAL;São Paulo
5;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;6ª SEC;047 DP - Capão Redondo;CAPITAL;São Paulo
5;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Jacupiranga;DM - Barra do Turvo;Santos;Barra do Turvo
4;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;3ª SEC;033 DP - Pirituba;CAPITAL;São Paulo
4;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;6ª SEC;092 DP - Parque Santo Antônio;CAPITAL;São Paulo
4;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;6ª SEC;101 DP - Jardim das Imbuias;CAPITAL;São Paulo
4;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;8ª SEC;054 DP - Cidade Tiradentes;CAPITAL;São Paulo
4;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Carapicuíba;001 DP - Carapicuiba;Grande São Paulo (exclui a Capital);Carapicuíba
4;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Guarulhos;004 DP - Guarulhos;Grande São Paulo (exclui a Capital);Guarulhos
4;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Guarulhos;008 DP - Guarulhos;Grande São Paulo (exclui a Capital);Guarulhos
4;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Guarulhos;009 DP - Guarulhos;Grande São Paulo (exclui a Capital);Guarulhos
4;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Taboão da Serra;001 DP - Embú;Grande São Paulo (exclui a Capital);Embu das Artes
4;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Jundiaí;DM - Itupeva;Campinas;Itupeva
4;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Limeira;004 DP - Limeira;Piracicaba;Limeira
3;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;2ª SEC;035 DP - Jabaquara;CAPITAL;São Paulo
3;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;3ª SEC;089 DP - Portal do Morumbi;CAPITAL;São Paulo
3;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;4ª SEC;013 DP - Casa Verde;CAPITAL;São Paulo
3;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Carapicuíba;DM - Barueri;Grande São Paulo (exclui a Capital);Barueri
3;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Franco da Rocha;DM - Cajamar;Grande São Paulo (exclui a Capital);Cajamar
3;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Guarulhos;005 DP - Guarulhos;Grande São Paulo (exclui a Capital);Guarulhos
3;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Osasco;002 DP - Osasco;Grande São Paulo (exclui a Capital);Osasco
3;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Taboão da Serra;001 DP - Taboão da Serra;Grande São Paulo (exclui a Capital);Taboão da Serra
3;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Taboão da Serra;DM - Embú;Grande São Paulo (exclui a Capital);Embu das Artes
3;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;1ª Seccional Campinas;004 DP - Campinas;Campinas;Campinas
3;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 7;SEC Sorocaba;DM - Mairinque;Sorocaba;Mairinque
3;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 7;SEC Sorocaba;DM - São Roque;Sorocaba;São Roque
3;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Limeira;DM - Araras;Piracicaba;Araras
3;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Limeira;DM - Cordeirópolis;Piracicaba;Cordeirópolis
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;2ª SEC;096 DP - Monções;CAPITAL;São Paulo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;3ª SEC;015 DP - Itaim Bibi;CAPITAL;São Paulo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;3ª SEC;037 DP - Campo Limpo;CAPITAL;São Paulo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;3ª SEC;087 DP - Vila Pereira Barreto;CAPITAL;São Paulo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;3ª SEC;093 DP - Jaguaré;CAPITAL;São Paulo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;4ª SEC;028 DP - Freguesia do Ó;CAPITAL;São Paulo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;4ª SEC;040 DP - Vila Santa Maria;CAPITAL;São Paulo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;5ª SEC;010 DP - Penha de França;CAPITAL;São Paulo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;6ª SEC;025 DP - Parelheiros;CAPITAL;São Paulo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;6ª SEC;098 DP - Jardim Míriam;CAPITAL;São Paulo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;6ª SEC;099 DP - Campo Grande;CAPITAL;São Paulo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;7ª SEC;024 DP - Ponte Rasa;CAPITAL;São Paulo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;7ª SEC;063 DP - Vila Jacuí;CAPITAL;São Paulo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;8ª SEC;055 DP - Parque São Rafael;CAPITAL;São Paulo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;8ª SEC;070 DP - Vila Ema;CAPITAL;São Paulo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Carapicuíba;DM - Cotia;Grande São Paulo (exclui a Capital);Cotia
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Franco da Rocha;001 DP - Cajamar;Grande São Paulo (exclui a Capital);Cajamar
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Franco da Rocha;DM - Caieiras;Grande São Paulo (exclui a Capital);Caieiras
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Franco da Rocha;DM - Franco da Rocha;Grande São Paulo (exclui a Capital);Franco da Rocha
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Guarulhos;002 DP - Guarulhos;Grande São Paulo (exclui a Capital);Guarulhos
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Guarulhos;007 DP - Guarulhos;Grande São Paulo (exclui a Capital);Guarulhos
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Mogi das Cruzes;001 DP - Itaquaquecetuba;Grande São Paulo (exclui a Capital);Itaquaquecetuba
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Mogi das Cruzes;002 DP - Suzano;Grande São Paulo (exclui a Capital);Suzano
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Mogi das Cruzes;DM - Itaquaquecetuba;Grande São Paulo (exclui a Capital);Itaquaquecetuba
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Santo André;006 DP - Santo André;Grande São Paulo (exclui a Capital);Santo André
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC São Bernardo Campo;003 DP - São Bernardo do Campo;Grande São Paulo (exclui a Capital);São Bernardo do Campo
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Taboão da Serra;DM - Itapecerica da Serra;Grande São Paulo (exclui a Capital);Itapecerica da Serra
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 1;SEC Jacareí;002 DP - Jacareí;São José dos Campos;Jacareí
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;1ª Seccional Campinas;DM - Paulínea;Campinas;Paulínia
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;2ª Seccional Campinas;009 DP - Campinas;Campinas;Campinas
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Bragança Paulista;001 DP - Atibaia;Campinas;Atibaia
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Jundiaí;005 DP - Jundiai;Campinas;Jundiaí
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Jundiaí;006 DP - Jundiai;Campinas;Jundiaí
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Praia Grande;003 DP - Praia Grande;Santos;Praia Grande
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Santos;001 DP - Cubatão;Santos;Cubatão
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Santos;002 DP - Guarujá;Santos;Guarujá
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Santos;003 DP - Cubatão;Santos;Cubatão
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Santos;DM - Guarujá;Santos;Guarujá
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Limeira;001 DP - Araras;Piracicaba;Araras
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;1ª SEC;002 DP - Bom Retiro;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;1ª SEC;078 DP - Jardins;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;2ª SEC;016 DP - Vila Clementino;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;2ª SEC;027 DP - Campo Belo;CAPITAL;São Paulo
